reaction(s)	biomass flux	target flux
CYTDK2	0.8769972144269688	0.0
XPPT	0.8769972144269688	0.0
HXPRT	0.8769972144269688	0.0
NDPK5	0.8769972144269688	0.0
SHK3Dr	0.0	0.0
NDPK6	0.8769972144269688	0.0
NDPK8	0.8769972144269688	0.0
DHORTS	0.0	0.0
OMPDC	0.0	0.0
PYNP2r	0.8769972144269688	0.0
G5SD	0.0	0.0
CS	0.0	0.0
ICDHyr	0.0	0.0
ALATA_L2	0.8769972144269688	0.0
DURIPP	0.8769972144269688	0.0
ACALD	0.8769972144269688	0.0
PTRCTA	0.8769972144269688	0.0
ACS	0.8769972144269688	0.0
CYSDS	0.8769972144269688	0.0
MAN6PI	0.8769972144269688	0.0
PPA	0.0	0.0
APRAUR	0.0	0.0
TRPAS2	0.8760559699226933	0.0
PPCK	0.8769972144269688	0.0
ME1	0.8769972144269688	0.0
DB4PS	0.0	0.0
ALAR	0.0	0.0
RBFK	0.0	0.0
ALATA_L	0.8769972144269688	0.0
XYLK	0.8769972144269688	0.0
RBK	0.8769972144269688	0.0
GLYK	0.8769972144269688	0.0
PPM	0.8769892039287887	0.0
ASPTA	0.0	0.0
ACP1_FMN	0.8769972144269688	0.0
RBFSb	0.0	0.0
NDP3	0.8769972144269688	0.0
CDPPH	0.8769972144269688	0.0
NDP7	0.8769972144269688	0.0
FBP	0.8769972144269688	0.0
GLGC	0.8769972144269688	0.0
ALATA_D2	0.8769972144269688	0.0
PYK	0.8769972144269688	0.0
SHCHD2	0.0	0.0
A5PISO	0.0	0.0
PMDPHT	0.0	0.0
CPPPGO	0.8769413442550614	0.0
GTHOr	0.8769972144269688	0.0
ILETA	0.0	0.0
DHORD5	0.8769972144269688	0.0
GLYCTO2	0.8769972144269688	0.0
VALTA	0.8769972144269688	0.0
GLYCTO3	0.8769972144269688	0.0
IPPMIb	0.0	0.0
GLYCTO4	0.8769972144269688	0.0
ORPT	0.0	0.0
RBFSa	0.0	0.0
ACHBS	0.0	0.0
PFK_3	0.8769972144269688	0.0
DHAD2	0.0	0.0
